 it                                       1 2135560 N         
 catch                                    380 15149 NV        
 her                                      381 962172 D         
 has                                      382 153431 p         
 stalled                                  383 508 V         
 should                                   384 117928 V         
 someone                                  385 60924 N         
 seems                                    386 24931 V         
 thief                                    387 4289 N         
 take                                     388 125515 NV        
 standard                                 389 5144 NA        
 make                                     390 142680 NV        
 color                                    391 10736 NVA       
 easier                                   392 9137 A         
 rid                                      393 4489 V         
 possible                                 394 31923 NA        
 suggested                                395 10144 V         
 steal                                    396 4136 NV        
 sell                                     397 7226 NV        
 reason                                   398 35291 NV        
 making                                   399 38286 NV        
 getaway                                  400 380 N         
 hell                                     401 33382 N!        
 abandon                                  402 2213 NV        
 ill                                      403 81754 NAv       
 ask                                      404 41333 V         
 offered                                  405 11926 V         
 brought                                  406 33789 V         
 motorcycle                               407 1090 NV        
 stop                                     408 40139 NV        
 scrambled                                409 3193 VA        
 fence                                    410 5170 NV        
 jumped                                   411 9541 V         
 rows                                     412 2800 pV        
 small                                    413 67474 NAv       
 plants                                   414 3803 pV        
 until                                    415 71162 CP        
 first                                    416 149714 NAv       
 yellow                                   417 11934 NVA       
 jalopy                                   418 60 N         
 go                                       419 177387 NVA       
 within                                   420 30791 v         
 past                                     421 41127 NAv       
 hour                                     422 26826 N         
 lanky                                    423 360 A         
 farmer                                   424 1922 N         
 leaned                                   425 13893 V         
 hoe                                      426 155 NV        
 ear                                      427 10004 N         
 along                                    428 49654 v         
 called                                   429 53545 V         
 companions                               430 4389 pV        
 ambled                                   431 368 V         
 man                                      432 179307 N!VtA     
 plug                                     433 897 NV        
 tobacco                                  434 1807 N         
 overalls                                 435 485 p         
 hearty                                   436 707 A         
 chew                                     437 928 NV        
 lad                                      438 3276 N         
 wants                                    439 17126 pV        
 come                                     440 143354 Vt!       
 slowly                                   441 30162 v         
 three                                    442 85342 NA        
 hands                                    443 72423 NV        
 all                                      444 526073 Av        
 rather                                   445 35113 v         
 elderly                                  446 2475 NA        
 men                                      447 84860 NV        
 answer                                   448 33466 NV        
 once                                     449 86745 v         
 instead                                  450 30666 v         
 hoes                                     451 52 pV        
 duly                                     452 495 v         
 passed                                   453 26368 V         
 group                                    454 19466 NV        
 please                                   455 20649 Vv        
 hurry                                    456 6231 NV        
 trying                                   457 54083 VA        
 another                                  458 114474 A         
 workers                                  459 4905 p         
 hat                                      460 9030 NV        
 mopped                                   461 264 V         
 brow                                     462 2783 N         
 drawled                                  463 238 V         
 guess                                    464 22970 NV        
 anyhow                                   465 1477 v         
 delivery                                 466 1999 N         
 truck                                    467 9371 NV        
 remember                                 468 42220 V         
 rightly                                  469 894 v         
 strove                                   470 288 V         
 conceal                                  471 1580 V         
 impatience                               472 993 N         
 brand                                    473 2432 NV        
 new                                      474 104573 Av        
 real                                     475 41756 NAv       
 shiny                                    476 2737 A         
 asked                                    477 72781 V         
 fourth                                   478 5402 NAv       
 member                                   479 5984 N         
 painted                                  480 5574 VA        
 explained                                481 15102 V         
 my                                       482 702934 D!        
 nephew                                   483 1190 N         
 things                                   484 108474 N         
 never                                    485 168744 v!        
 thought                                  486 144875 N         
 safe                                     487 17354 NA        
 myself                                   488 53742 r         
 agree                                    489 7736 V         
 spoke                                    490 23316 N         
 work                                     491 87855 NV        
 will                                     492 349473 NV        
 mischief                                 493 907 N         
 son                                      494 23378 N         
 much                                     495 159209 NAv       
 hope                                     496 33287 NV        
 critter                                  497 78 N         
 stole                                    498 3135 N         
 your                                     499 303894 D         
 hot                                      500 21560 A         
 rod                                      501 1693 N         
 thanks                                   502 8327 p!        
 joined                                   503 6962 VA        
 under                                    504 66108 Av        
 arm                                      505 29939 NV        
 carrying                                 506 9009 V         
 slightly                                 507 13633 v         
 battered                                 508 2003 VA        
 package                                  509 2403 NV        
 last                                     510 89178 NVAv      
 friend                                   511 33202 N         
 gone                                     512 50915 A         
 moon                                     513 11747 NV        
 rocket                                   514 1652 NV        
 think                                    515 192787 NV        
 friends                                  516 39903 p         
 showing                                  517 6455 NV        
 about                                    518 361141 Av        
 faded                                    519 5644 VA        
 damaged                                  520 1979 VA        
 figure                                   521 22086 NV        
 dear                                     522 12989 A!Nv      
 mrs                                      523 10614 N         
 wills                                    524 1158 pV        
 so                                       525 430469 vCrA!N    
 baked                                    526 1157 VA        
 cake                                     527 3078 NV        
 lucky                                    528 10111 A         
 broke                                    529 14530 A         
 dropped                                  530 19421 V         
 am                                       531 246300 N         
 afraid                                   532 24470 A         
 ruined                                   533 3304 VA        
 yes                                      534 44552 N         
 poor                                     535 16280 NA        
 travel                                   536 8328 NV        
 remembered                               537 14195 V         
 gas                                      538 6760 NV        
 gauge                                    539 844 NV        
 working                                  540 25994 NVA       
 telling                                  541 17979 NVA       
 where                                    542 152334 vrCN      
 may                                      543 76024 N         
 police                                   544 22102 NV        
 headquarters                             545 2080 NV        
 answered                                 546 15955 V         
 blur                                     547 1835 NV        
 wrecked                                  548 665 VA        
 helped                                   549 12257 V         
 himself                                  550 77630 r         
 belong                                   551 3989 V         
 mean                                     552 53492 NVA       
 stolen                                   553 4635 V         
 desperate                                554 5945 NA        
 whatever                                 555 27708 A         
 talking                                  556 33923 NV        
 phone                                    557 26566 NV        
 tonight                                  558 13448 Nv        
 promised                                 559 9429 V         
 chief                                    560 8539 NA        
 often                                    561 36270 v         
 detective                                562 4808 N         
 solving                                  563 1210 NV        
 particularly                             564 10280 v         
 difficult                                565 19107 A         
 cases                                    566 8623 pV        
 went                                     567 110971 V         
 office                                   568 26708 N         
 found                                    569 77479 NVA       
 excited                                  570 6877 VA        
 timid                                    571 718 NA        
 perched                                  572 1498 V         
 stool                                    573 1798 NV        
 behind                                   574 74422 NAv       
 ticket                                   575 2960 NV        
 window                                   576 32192 N         
 ferryboat                                577 38 N         
 day                                      578 114165 N         
 good                                     579 154495 A!N       
 many                                     580 99015 A         
 years                                    581 95535 N         
 why                                      582 127251 vCN!      
 those                                    583 112791 D         
 rods                                     584 571 p         
 drove                                    585 12077 N         
 immediately                              586 17331 v         
 pencil                                   587 2699 NV        
 notebook                                 588 2524 N         
 passenger                                589 2461 N         
 ran                                      590 32454 V         
 send                                     591 14512 V         
 now                                      592 265943 Nv        
 pressed                                  593 10572 VA        
 buzzer                                   594 327 N         
 quickly                                  595 34540 v         
 relayed                                  596 364 V         
 orders                                   597 8146 pV        
 notice                                   598 12460 NV        
 mans                                     599 15469 pV        
 deal                                     600 20923 NV        
 brown                                    601 15575 NVA       
 cropped                                  602 597 VA        
 looked                                   603 146023 V         
 each                                     604 87718 Av        
 perplexed                                605 675 VA        
 information                              606 20143 N         
 ours                                     607 3825 r         
 nervous                                  608 8719 A         
 ushered                                  609 784 V         
 room                                     610 107240 NV        
 attempted                                611 2959 VA        
 holdup                                   612 82 N         
 say                                      613 134498 VvN!      
 focused                                  614 4956 VA        
 gun                                      615 13349 NV        
 noticed                                  616 16626 VA        
 shook                                    617 24417 N         
 head                                     618 116596 NV        
 puzzlement                               619 445 N         
 others                                   620 54108 r         
 exchanged                                621 2506 VA        
 glances                                  622 2026 pV        
 wig                                      623 1030 N         
 done                                     624 63928 V!A       
 determined                               625 7658 VA        
 pursue                                   626 2134 V         
 give                                     627 67818 NV        
 leads                                    628 3741 pV        
 running                                  629 25830 NVA       
 through                                  630 157134 Av        
 franks                                   631 2564 pV        
 joes                                     632 2160 p         
 minds                                    633 7075 pV        
 pretended                                634 2433 VA        
 seriously                                635 6946 v         
 riding                                   636 5143 NVV       
 daredevil                                637 66 NA        
 countered                                638 730 V         
 admit                                    639 8641 V         
 both                                     640 79141 A         
 pretty                                   641 30575 Av        
 swell                                    642 1254 NVA       
 continued                                643 21677 VA        
 lot                                      644 54587 NV        
 use                                      645 45125 NV        
 house                                    646 80738 NV        
 passing                                  647 8170 NVAv      
 fashioned                                648 2632 VA        
 barn                                     649 3562 N         
 property                                 650 6284 N         
 floor                                    651 45458 NV        
 converted                                652 1045 VA        
 gymnasium                                653 282 N         
 used                                     654 49993 VA        
 school                                   655 37801 NV        
 week                                     656 23238 N         
 ends                                     657 5210 pV        
 corner                                   658 19130 NV        
 elm                                      659 404 N         
 streets                                  660 10127 p         
 stone                                    661 25521 NVA       
 large                                    662 35984 NAv       
 tree                                     663 19236 NV        
 shaded                                   664 760 VA        
 lawn                                     665 3173 N         
 pushed                                   666 17626 V         
 kitchen                                  667 19661 N         
 kissed                                   668 8724 V         
 affectionately                           669 343 v         
 upstairs                                 670 6694 NAv       
 adjoining                                671 638 V         
 fine                                     672 22342 NVAv      
 library                                  673 7349 N         
 contained                                674 4231 VA        
 only                                     675 218106 Av        
 books                                    676 18614 pV        
 files                                    677 2030 pV        
 disguises                                678 275 pV        
 records                                  679 4486 pV        
 criminal                                 680 3710 NA        
 translations                             681 281 p         
 thousands                                682 8235 p         
 codes                                    683 864 pVV       
 walking                                  684 17652 NVA       
 study                                    685 11505 NV        
 greeted                                  686 2638 V         
 father                                   687 59203 NV        
 reporting                                688 1168 NV        
 errand                                   689 937 N         
 accomplished                             690 2473 VA        
 announced                                691 5403 VA        
 searching                                692 5373 VA        
 netted                                   693 95 VVA       
 learned                                  694 17857 VA        
 early                                    695 22774 Av        
 boyhood                                  696 398 N         
 impossible                               697 14287 NA        
 keep                                     698 65456 NV        
 any                                      699 171717 Av        
 secrets                                  700 4352 p         
 astute                                   701 276 A         
 silent                                   702 13831 A         
 seconds                                  703 11580 pV        
 want                                     704 156550 NV        
 advice                                   705 5793 N         
 glanced                                  706 14678 V         
 clock                                    707 6278 NV        
 fathers                                  708 12128 pV        
 desk                                     709 15318 N         
 sleuthing                                710 219 NV        
 closing                                  711 4899 NVA       
 dash                                     712 1722 ViN!Av    
 stopped                                  713 36189 VA        
 slightest                                714 2752 A         
 idea                                     715 44872 N         
 thumbed                                  716 395 VA        
 heavy                                    717 20408 NAv       
 sheaf                                    718 324 N         
 these                                    719 119434 D         
 places                                   720 14503 pV        
